Event	Name	p_x	p_y	p_z	Data Source
2185	e+	0.445	0.364	0.738	run8.dat
2186	K+	0.786	0.328	0.243	run6.dat
2187	p-	0.843	0.006	0.134	run9.dat
2188	e-	0.051	0.105	0.867	run2.dat
2189	K+	0.560	0.437	0.092	run4.dat
2190	e-	0.100	0.766	0.003	run7.dat
2191	mu+	0.899	0.717	0.183	run1.dat
2192	pi-	0.741	0.437	0.440	run4.dat
2193	pi-	0.500	0.384	0.204	run6.dat
2194	e-	0.521	0.891	0.981	run5.dat
2195	p-	0.912	0.928	0.680	run5.dat
2196	p-	0.442	0.782	0.601	run5.dat
2197	K+	0.889	0.411	0.154	run1.dat
2198	e-	0.905	0.480	0.473	run8.dat
2199	pi-	0.055	0.176	0.949	run6.dat
2200	K-	0.090	0.651	0.793	run1.dat
2201	pi-	0.369	0.682	0.565	run4.dat
2202	pi-	0.538	0.036	0.674	run4.dat
2203	mu+	0.384	0.213	0.111	run7.dat
2204	e+	0.497	0.862	0.254	run1.dat
2205	mu+	0.018	0.199	0.905	run5.dat
2206	mu-	0.228	0.225	0.104	run5.dat
2207	e+	0.099	0.413	0.200	run7.dat
2208	p+	0.091	0.122	0.816	run4.dat
2209	e-	0.588	0.547	0.615	run7.dat
2210	p+	0.284	0.115	0.895	run5.dat
2211	K+	0.095	0.961	0.290	run6.dat
2212	K-	0.782	0.485	0.652	run8.dat
2213	p+	0.413	0.928	0.935	run7.dat
2214	e+	0.476	0.919	0.658	run7.dat
2215	mu-	0.769	0.521	0.537	run8.dat
2216	K-	0.686	0.692	0.739	run1.dat
2217	e-	0.237	0.694	0.623	run8.dat
2218	K+	0.955	0.599	0.841	run7.dat
2219	pi-	0.614	0.744	0.965	run7.dat
2220	K+	0.742	0.425	0.596	run9.dat
2221	p+	0.330	0.383	0.079	run4.dat
2222	K+	0.413	0.915	0.516	run6.dat
2223	mu+	0.905	0.113	0.615	run4.dat
2224	pi+	0.772	0.344	0.454	run6.dat
2225	mu-	0.748	0.342	0.083	run6.dat
2226	e+	0.798	0.229	0.543	run1.dat
2227	e+	0.766	0.271	0.829	run4.dat
2228	p+	0.802	0.126	0.047	run3.dat
2229	K-	0.375	0.202	0.449	run9.dat
2230	pi+	0.663	0.704	0.568	run5.dat
2231	p-	0.029	0.680	0.082	run5.dat
2232	mu+	0.294	0.512	0.369	run9.dat
2233	mu+	0.320	0.070	0.005	run5.dat
2234	p-	0.967	0.898	0.794	run7.dat
2235	pi-	0.458	0.272	0.841	run5.dat
2236	K+	0.032	0.506	0.268	run6.dat
2237	e+	0.771	0.738	0.377	run8.dat
2238	K+	0.984	0.347	0.982	run6.dat
2239	pi-	0.323	0.904	0.924	run5.dat
2240	e-	0.264	0.135	0.494	run4.dat
2241	pi-	0.759	0.369	0.976	run3.dat
2242	p+	0.247	0.893	0.408	run5.dat
2243	mu+	0.111	0.195	0.412	run4.dat
2244	e+	0.947	0.995	0.533	run5.dat
2245	p-	0.128	0.949	0.040	run9.dat
2246	p-	0.795	0.332	0.616	run5.dat
2247	p-	0.272	0.033	0.002	run6.dat
2248	mu+	0.306	0.734	0.312	run8.dat
2249	p-	0.807	0.087	0.706	run8.dat
2250	pi+	0.830	0.764	0.159	run1.dat
2251	p+	0.156	0.734	0.884	run8.dat
2252	pi+	0.061	0.878	0.094	run3.dat
2253	e+	0.014	0.856	0.973	run3.dat
2254	mu+	0.341	0.330	0.683	run6.dat
2255	K+	0.583	0.526	0.187	run9.dat
2256	K+	0.987	0.398	0.373	run2.dat
2257	mu+	0.759	0.918	0.398	run8.dat
2258	pi-	0.048	0.203	0.433	run4.dat
2259	K+	0.676	0.510	0.880	run3.dat
2260	mu-	0.003	0.694	0.537	run5.dat
2261	mu+	0.011	0.435	0.178	run1.dat
2262	mu-	0.213	0.970	0.820	run5.dat
2263	e-	0.510	0.886	0.139	run3.dat
2264	p-	0.309	0.101	0.850	run5.dat
2265	p-	0.462	0.708	0.479	run9.dat
2266	pi-	0.708	0.496	0.516	run4.dat
2267	p+	0.616	0.939	0.005	run5.dat
2268	p+	0.593	0.553	0.660	run8.dat
2269	mu+	0.013	0.253	0.244	run5.dat
2270	e+	0.998	0.044	0.558	run9.dat
2271	pi+	0.249	0.376	0.630	run8.dat
2272	K-	0.647	0.203	0.244	run7.dat
2273	mu-	0.307	0.417	0.665	run3.dat
2274	pi+	0.710	0.790	0.808	run9.dat
2275	e+	0.226	0.082	0.568	run5.dat
2276	pi+	0.001	0.328	0.217	run9.dat
2277	mu-	0.207	0.090	0.204	run4.dat
2278	e+	0.164	0.067	0.755	run5.dat
2279	mu-	0.645	0.048	0.834	run9.dat
2280	e-	0.347	0.503	0.117	run8.dat
2281	p+	0.184	0.466	0.636	run7.dat
2282	p+	0.201	0.210	0.967	run8.dat
2283	mu+	0.411	0.477	0.195	run6.dat
2284	p-	0.482	0.107	0.958	run7.dat
2285	K+	0.727	0.604	0.958	run8.dat
2286	e-	0.283	0.765	0.543	run1.dat
2287	K+	0.616	0.201	0.839	run9.dat
2288	p+	0.579	0.327	0.582	run5.dat
2289	pi+	0.912	0.707	0.272	run3.dat
2290	pi+	0.840	0.764	0.820	run2.dat
2291	p+	0.157	0.758	0.683	run3.dat
2292	e-	0.643	0.447	0.291	run8.dat
2293	pi+	0.010	0.646	0.819	run9.dat
2294	p+	0.755	0.142	0.371	run8.dat
2295	p+	0.724	0.877	0.852	run7.dat
2296	K+	0.773	0.063	0.202	run5.dat
2297	pi+	0.768	0.275	0.365	run3.dat
2298	pi-	0.835	0.909	0.189	run6.dat
2299	e-	0.245	0.877	0.842	run8.dat
2300	p-	0.983	0.252	0.739	run6.dat
2301	K-	0.773	0.163	0.115	run5.dat
2302	p+	0.617	0.855	0.127	run2.dat
2303	mu+	0.237	0.937	0.900	run5.dat
2304	e+	0.575	0.461	0.201	run4.dat
2305	K-	0.650	0.935	0.384	run9.dat
2306	mu+	0.275	0.361	0.000	run1.dat
2307	e+	0.235	0.616	0.587	run3.dat
2308	p-	0.310	0.852	0.305	run7.dat
2309	e-	0.553	0.402	0.956	run9.dat
2310	mu-	0.254	0.601	0.118	run7.dat
2311	p-	0.538	0.271	0.842	run2.dat
2312	pi-	0.833	0.515	0.526	run6.dat
2313	p-	0.276	0.154	0.952	run1.dat
2314	K+	0.975	0.615	0.508	run4.dat
2315	p+	0.723	0.505	0.941	run2.dat
2316	K-	0.536	0.167	0.128	run9.dat
2317	pi+	0.448	0.848	0.031	run7.dat
2318	e+	0.400	0.738	0.363	run8.dat
2319	pi+	0.762	0.385	0.397	run1.dat
2320	e-	0.191	0.261	0.542	run3.dat
2321	e+	0.425	0.379	0.318	run4.dat
2322	p+	0.078	0.880	0.288	run5.dat
2323	K-	0.270	0.989	0.144	run4.dat
2324	K-	0.383	0.622	0.167	run6.dat
2325	e+	0.239	0.923	0.642	run8.dat
2326	pi-	0.680	0.412	0.684	run5.dat
2327	p+	0.780	0.867	0.772	run2.dat
2328	p-	0.517	0.502	0.369	run1.dat
2329	mu-	0.857	0.517	0.560	run7.dat
2330	pi+	0.584	0.416	0.375	run5.dat
2331	K+	0.682	0.291	0.448	run5.dat
2332	e-	0.068	0.330	0.346	run4.dat
2333	pi-	0.524	0.306	0.929	run1.dat
2334	pi-	0.897	0.245	0.644	run8.dat
2335	mu+	0.571	0.512	0.331	run8.dat
2336	mu-	0.010	0.364	0.297	run2.dat
2337	pi-	0.341	0.184	0.949	run3.dat
2338	pi+	0.976	0.627	0.480	run4.dat
2339	e-	0.319	0.655	0.900	run2.dat
2340	e+	0.184	0.009	0.899	run1.dat
2341	p-	0.920	0.533	0.340	run4.dat
2342	p-	0.257	0.745	0.883	run2.dat
2343	e+	0.889	0.275	0.010	run9.dat
2344	pi-	0.190	0.850	0.430	run5.dat
2345	K+	0.102	0.967	0.811	run8.dat
2346	pi-	0.185	0.156	0.238	run8.dat
2347	pi+	0.549	0.805	0.391	run8.dat
2348	mu-	0.635	0.015	0.067	run7.dat
2349	mu-	0.938	0.532	0.714	run8.dat
2350	mu+	0.218	0.081	0.188	run4.dat
2351	mu-	0.980	0.942	0.638	run8.dat
2352	e+	0.227	0.789	0.891	run2.dat
2353	e+	0.587	0.397	0.535	run4.dat
2354	p-	0.005	0.305	0.921	run7.dat
2355	e-	0.246	0.831	0.499	run8.dat
2356	K+	0.192	0.050	0.725	run8.dat
2357	p+	0.630	0.948	0.161	run5.dat
2358	mu-	0.731	0.878	0.489	run8.dat
2359	mu+	0.827	0.720	0.405	run9.dat
2360	mu-	0.740	0.593	0.130	run1.dat
2361	K+	0.272	0.978	0.053	run1.dat
2362	p+	0.240	0.084	0.160	run5.dat
2363	K-	0.001	0.010	0.902	run3.dat
2364	e+	0.158	0.769	0.237	run4.dat
2365	p+	0.484	0.998	0.155	run6.dat
2366	pi+	0.983	0.211	0.626	run7.dat
2367	e+	0.084	0.564	0.265	run3.dat
2368	mu+	0.273	0.952	0.160	run9.dat
2369	K+	0.603	0.712	0.330	run2.dat
2370	K+	0.733	0.255	0.524	run5.dat
2371	mu+	0.478	0.934	0.473	run2.dat
2372	K+	0.800	0.066	0.624	run3.dat
2373	p+	0.412	0.080	0.107	run4.dat
2374	p-	0.110	0.275	0.244	run2.dat
2375	pi+	0.089	0.381	0.957	run8.dat
2376	K+	0.124	0.384	0.997	run8.dat
2377	pi+	0.597	0.177	0.955	run4.dat
2378	K-	0.122	0.615	0.431	run6.dat
2379	e-	0.105	0.641	0.042	run4.dat
2380	mu-	0.614	0.280	0.124	run8.dat
2381	K+	0.342	0.770	0.567	run4.dat
2382	mu-	0.815	0.184	0.024	run4.dat
2383	mu-	0.203	0.759	0.584	run6.dat
2384	K-	0.856	0.585	0.769	run6.dat
2385	e+	0.501	0.794	0.068	run6.dat
2386	K+	0.750	0.255	0.848	run3.dat
2387	mu+	0.786	0.481	0.039	run1.dat
2388	K+	0.699	0.280	0.702	run9.dat
2389	K-	0.841	0.550	0.396	run8.dat
2390	e-	0.680	0.006	0.371	run3.dat
2391	e-	0.092	0.162	0.710	run1.dat
2392	mu+	0.765	0.853	0.465	run4.dat
2393	K+	0.049	0.115	0.372	run9.dat
2394	K-	0.539	0.700	0.699	run4.dat
2395	pi+	0.326	0.585	0.947	run1.dat
2396	K-	0.876	0.612	0.678	run2.dat
2397	e-	0.693	0.786	0.521	run8.dat
2398	e-	0.482	0.579	0.853	run5.dat
2399	e+	0.739	0.553	0.400	run9.dat
2400	p+	0.420	0.557	0.389	run5.dat
2401	p+	0.054	0.936	0.213	run4.dat
2402	K-	0.130	0.085	0.169	run4.dat
2403	mu+	0.054	0.336	0.221	run8.dat
2404	p-	0.808	0.478	0.954	run7.dat
2405	p-	0.896	0.610	0.720	run7.dat
2406	e-	0.484	0.329	0.840	run7.dat
2407	mu+	0.601	0.862	0.773	run7.dat
2408	e-	0.084	0.144	0.332	run9.dat
2409	p-	0.892	0.749	0.637	run2.dat
2410	mu+	0.612	0.353	0.277	run2.dat
2411	p+	0.110	0.814	0.247	run4.dat
2412	K-	0.263	0.364	0.935	run8.dat
2413	pi+	0.313	0.405	0.579	run4.dat
2414	pi-	0.750	0.018	0.852	run8.dat
2415	pi+	0.748	0.816	0.467	run4.dat
2416	K+	0.399	0.661	0.124	run8.dat
2417	pi-	0.940	0.654	0.206	run9.dat
2418	p+	0.671	0.510	0.979	run9.dat
2419	pi+	0.193	0.962	0.150	run3.dat
2420	mu+	0.454	0.044	0.111	run8.dat
2421	e-	0.475	0.062	0.957	run2.dat
2422	K+	0.747	0.541	0.064	run1.dat
2423	p-	0.214	0.353	0.775	run5.dat
2424	K-	0.440	0.016	0.045	run5.dat
2425	K-	0.477	0.432	0.266	run6.dat
2426	K+	0.859	0.875	0.433	run9.dat
2427	pi-	0.785	0.710	0.423	run4.dat
2428	pi+	0.697	0.858	0.303	run3.dat
2429	e-	0.400	0.951	0.631	run8.dat
2430	p-	0.058	0.410	0.421	run5.dat
2431	pi+	0.038	0.072	0.889	run7.dat
2432	K+	0.776	0.765	0.343	run1.dat
2433	p-	0.409	0.486	0.655	run5.dat
2434	K-	0.227	0.536	0.513	run5.dat
2435	e+	0.096	0.559	0.342	run4.dat
2436	pi-	0.919	0.416	0.201	run6.dat
2437	e+	0.464	0.452	0.290	run8.dat
2438	pi-	0.498	0.271	0.145	run7.dat
2439	e-	0.598	0.032	0.797	run6.dat
2440	p+	0.453	0.559	0.483	run5.dat
2441	K+	0.934	0.582	0.478	run5.dat
2442	K-	0.196	0.967	0.499	run1.dat
2443	pi-	0.426	0.253	0.611	run3.dat
2444	pi-	0.413	0.698	0.106	run3.dat
2445	K+	0.347	0.622	0.867	run7.dat
2446	e+	0.144	0.071	0.338	run4.dat
2447	e+	0.564	0.222	0.653	run4.dat
2448	mu-	0.555	0.651	0.608	run8.dat
2449	pi+	0.389	0.373	0.449	run1.dat
2450	mu+	0.499	0.133	0.576	run3.dat
2451	mu-	0.486	0.863	0.032	run9.dat
2452	e+	0.994	0.660	0.350	run8.dat
2453	p-	0.496	0.063	0.303	run3.dat
2454	mu+	0.533	0.411	0.370	run5.dat
2455	e+	0.490	0.851	0.982	run2.dat
2456	K+	0.540	0.254	0.469	run5.dat
2457	e+	0.731	0.801	0.807	run1.dat
2458	pi-	0.517	0.867	0.372	run2.dat
2459	K-	0.127	0.897	0.388	run8.dat
2460	p-	0.103	0.379	0.246	run1.dat
2461	e-	0.528	0.232	0.639	run6.dat
2462	K+	0.140	0.088	0.548	run8.dat
2463	e-	0.469	0.342	0.522	run9.dat
2464	pi+	0.811	0.210	0.531	run8.dat
2465	e+	0.979	0.668	0.325	run6.dat
2466	mu-	0.022	0.056	0.697	run5.dat
2467	pi+	0.851	0.870	0.813	run8.dat
2468	e-	0.581	0.008	0.525	run4.dat
2469	p+	0.869	0.528	0.188	run8.dat
2470	mu+	0.031	0.939	0.615	run9.dat
2471	pi-	0.283	0.649	0.676	run8.dat
2472	mu-	0.810	0.194	0.454	run9.dat
2473	mu-	0.911	0.668	0.186	run2.dat
2474	pi+	0.331	0.256	0.441	run6.dat
2475	pi-	0.865	0.462	0.735	run8.dat
2476	pi+	0.582	0.674	0.668	run9.dat
2477	mu-	0.659	0.665	0.134	run9.dat
2478	K+	0.238	0.471	0.807	run5.dat
2479	pi+	0.078	0.518	0.639	run8.dat
2480	pi+	0.674	0.001	0.205	run8.dat
2481	e+	0.276	0.323	0.313	run7.dat
2482	K+	0.948	0.001	0.937	run8.dat
2483	p-	0.201	0.505	0.503	run9.dat
2484	pi+	0.530	0.692	0.344	run8.dat
2485	p+	0.004	0.438	0.316	run9.dat
2486	pi+	0.435	0.255	0.477	run4.dat
2487	pi-	0.289	0.822	0.112	run4.dat
2488	K+	0.713	0.915	0.614	run2.dat
2489	mu+	0.789	0.870	0.498	run5.dat
2490	e+	0.583	0.591	0.946	run9.dat
2491	p-	0.217	0.130	0.136	run4.dat
2492	p-	0.769	0.553	0.791	run3.dat
2493	K+	0.616	0.209	0.522	run7.dat
2494	p-	0.651	0.029	0.132	run7.dat
2495	e-	0.558	0.406	0.906	run2.dat
2496	K+	0.737	0.035	0.588	run6.dat
2497	pi+	0.631	0.890	0.671	run9.dat
2498	pi-	0.587	0.268	0.503	run4.dat
2499	e-	0.760	0.739	0.151	run7.dat
2500	K-	0.152	0.269	0.507	run8.dat
2501	pi-	0.050	0.470	0.939	run3.dat
2502	e+	0.684	0.704	0.375	run7.dat
2503	p-	0.269	0.492	0.981	run4.dat
2504	mu+	0.102	0.940	0.368	run7.dat
2505	e+	0.748	0.445	0.018	run3.dat
2506	p+	0.234	0.755	0.811	run7.dat
2507	K+	0.750	0.443	0.943	run4.dat
2508	p-	0.937	0.004	0.322	run8.dat
2509	mu-	0.563	0.637	0.618	run7.dat
2510	K-	0.389	0.223	0.104	run5.dat
2511	e-	0.508	0.915	0.700	run9.dat
2512	mu-	0.499	0.938	0.369	run7.dat
2513	K-	0.669	0.668	0.148	run1.dat
2514	pi+	0.408	0.301	0.083	run7.dat
2515	pi-	0.111	0.434	0.977	run9.dat
2516	p+	0.957	0.069	0.855	run8.dat
2517	mu-	0.859	0.402	0.987	run8.dat
2518	e+	0.968	0.256	0.512	run3.dat
2519	K-	0.113	0.595	0.885	run3.dat
2520	p-	0.204	0.512	0.386	run1.dat
2521	pi+	0.790	0.964	0.045	run3.dat
2522	e+	0.258	0.934	0.136	run6.dat
2523	K+	0.943	0.334	0.773	run6.dat
2524	p+	0.988	0.692	0.416	run1.dat
2525	p+	0.615	0.437	0.597	run4.dat
2526	pi-	0.152	0.977	0.890	run9.dat
2527	e+	0.829	0.976	0.140	run4.dat
2528	p-	0.597	0.262	0.636	run2.dat
2529	K-	0.091	0.825	0.099	run4.dat
2530	p+	0.803	0.398	0.209	run4.dat
2531	p-	0.168	0.923	0.460	run4.dat
2532	p-	0.880	0.734	0.152	run5.dat
2533	p-	0.806	0.956	0.813	run5.dat
2534	pi+	0.375	0.805	0.952	run9.dat
2535	p+	0.803	0.103	0.935	run9.dat
2536	pi-	0.306	0.484	0.304	run7.dat
2537	mu-	0.516	0.091	0.778	run3.dat
2538	K-	0.100	0.978	0.354	run3.dat
2539	p+	0.292	0.648	0.538	run8.dat
2540	mu+	0.508	0.265	0.647	run3.dat
2541	p-	0.756	0.338	0.703	run6.dat
2542	p-	0.678	0.253	0.857	run4.dat
2543	p+	0.195	0.337	0.944	run5.dat
2544	e-	0.334	0.897	0.262	run5.dat
2545	e-	0.233	0.485	0.879	run3.dat
2546	K+	0.863	0.587	0.582	run7.dat
2547	e-	0.186	0.330	0.934	run6.dat
2548	mu-	0.944	0.986	0.579	run7.dat
2549	e+	0.954	0.137	0.132	run1.dat
2550	e-	0.171	0.217	0.067	run6.dat
2551	mu-	0.608	0.705	0.161	run1.dat
2552	mu+	0.985	0.612	0.643	run5.dat
2553	p-	0.817	0.567	0.066	run8.dat
2554	p-	0.846	0.642	0.586	run3.dat
2555	p-	0.684	0.726	0.988	run8.dat
2556	p-	0.874	0.155	0.236	run3.dat
2557	e+	0.358	0.067	0.780	run4.dat
2558	K+	0.835	0.892	0.193	run4.dat
2559	K-	0.991	0.379	0.437	run2.dat
2560	K-	0.399	0.592	0.117	run8.dat
2561	p+	0.046	0.728	0.903	run1.dat
2562	e+	0.611	0.427	0.342	run9.dat
2563	mu-	0.818	0.549	0.430	run8.dat
2564	e+	0.463	0.892	0.046	run9.dat
2565	e+	0.990	0.662	0.303	run8.dat
2566	p-	0.085	0.014	0.215	run6.dat
2567	p+	0.023	0.057	0.528	run1.dat
2568	pi-	0.704	0.163	0.652	run3.dat
2569	p+	0.477	0.497	0.912	run9.dat
2570	mu-	0.817	0.410	0.037	run4.dat
2571	pi+	0.290	0.552	0.873	run5.dat
